name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
파주 운정신도시 A39BL 호반써밋(임의공급 2차),059.9015B,,,,,9,,,,,,,,,,,,,
파주 운정신도시 A39BL 호반써밋(임의공급 2차),059.9683A,,,,,4,,,,,,,,,,,,,
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),084.5200C,2023000338(03),민영,,110.172,22,25,4,8,8,0,1,,4,0,0,49610,,
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),084.8687B,2023000338(02),민영,,110.858,22,25,4,8,8,0,1,,4,0,0,50610,,
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),084.9339A,2023000338(01),민영,,111.028,35,49,8,15,16,0,2,,8,0,0,50980,,
평택 고덕국제신도시 A-49블록 호반써밋 3차(본청약),100.5371,2023000338(04),민영,,130.23,91,13,10,0,0,0,3,,0,0,0,60760,,
평택 브레인시티 2BL 대광로제비앙 모아엘가,059.9542B,2023000224(02),민영,,82.5482,32,50,8,15,16,0,3,,8,0,0,36900,,
평택 브레인시티 2BL 대광로제비앙 모아엘가,059.9621A,2023000224(01),민영,,81.8975,98,148,25,44,47,0,7,,25,0,0,36900,,
평택 브레인시티 2BL 대광로제비앙 모아엘가,084.9264B,2023000224(04),민영,,117.766,106,158,26,48,50,0,8,,26,0,0,52600,,
평택 브레인시티 2BL 대광로제비앙 모아엘가,084.9352C,2023000224(05),민영,,115.434,124,186,31,56,59,0,9,,31,0,0,51900,,
평택 브레인시티 2BL 대광로제비앙 모아엘가,084.9991A,2023000224(03),민영,,115.092,318,480,80,144,152,0,24,,80,0,0,51940,,
포레나 미아(무순위 7차),053.9875B,,,,,1,,,,,,,,,,,,,
포레나 미아(임의공급 3차),080.8489A,,,,,22,,,,,,,,,,,,,
포레나 미아(임의공급 3차),084.8655A,,,,,25,,,,,,,,,,,,,
포레나 미아(임의공급 3차),084.9706B,,,,,15,,,,,,,,,,,,,
해운대 경동리인뷰 2차,069.9102A,2023000257(01),민영,,100.536,55,55,17,14,10,0,3,,11,0,0,98700,,
해운대 경동리인뷰 2차,084.4354C,2023000257(04),민영,,121.469,60,61,18,16,11,0,4,,12,0,0,117900,,
해운대 경동리인뷰 2차,084.5189D,2023000257(05),민영,,119.958,21,20,6,5,4,0,1,,4,0,0,98100,,
해운대 경동리인뷰 2차,084.6226G,2023000257(08),민영,,119.44,16,16,5,4,3,0,1,,3,0,0,116800,,
해운대 경동리인뷰 2차,084.8012F,2023000257(07),민영,,120.843,17,18,5,5,3,0,1,,4,0,0,94200,,
해운대 경동리인뷰 2차,084.9407E,2023000257(06),민영,,120.167,19,18,5,5,3,0,1,,4,0,0,118000,,
해운대 경동리인뷰 2차,084.9646B,2023000257(03),민영,,119.892,16,16,5,4,3,0,1,,3,0,0,117700,,
해운대 경동리인뷰 2차,084.9773A,2023000257(02),민영,,120.482,111,112,34,29,20,0,7,,22,0,0,118300,,
